"","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46"
"34",9103.44845549036,1674.02709992087,161.860808431293,447.341452399889,549.411659047196,1754.3077256378,135.519829709205,643.742060382472,249.874079615951,424.307583029787,155.881128078152,825.767232070096,125.651836786199,448.409407093923,561.184817296901,432.648245478962,287.518325659835,233.438774286093,905.923645292986,1866.37859358425,408.894101062079,14235.3644614584,634.765600020882
"35",9202.88287440554,1691.71369410466,162.949803029306,449.893427972101,556.50363440146,1769.62927895537,132.30834991901,650.662985156013,251.091633435688,439.634756266983,157.213067598441,831.200891946477,121.74223900611,455.337946913573,569.038247077154,434.082040271279,288.363341935436,235.381626214263,918.107168692555,1893.32221495286,412.489958032614,13365.0928392107,639.753189482294
"36",9298.22023502234,1708.66754063846,163.950724093653,452.187177878854,563.373874748005,1784.07180803728,129.162675220185,657.297736514386,252.16573543813,455.316636070796,158.465446699741,836.18512445623,117.90896299924,462.12642458076,576.690661053225,435.261051536867,289.040384641665,237.205998121081,929.920501956194,1919.57886472685,415.877051302152,12555.3272724902,644.406522715085
"37",9389.75923293114,1724.94233972538,164.870043467768,454.240922681384,570.038768759248,1797.69937754303,126.090695074283,663.667875315656,253.107137267254,471.370411135276,159.643928460128,840.753129964275,114.161297954826,468.787074430429,584.158008986623,436.205355012078,289.563097773504,238.920596058853,941.388759045115,1945.20018105929,419.070197654308,11801.8244731961,648.749502181146
"38",9477.77809594627,1740.58811985392,165.713786066322,456.071700884506,576.513564351291,1810.5716721701,123.098794811296,669.793481050842,253.925843755778,487.813229837394,160.753786592326,844.93582363794,110.506850086665,475.3312996356,591.455144049236,436.933616491713,289.944165672516,240.533531996851,952.535253111068,1970.23427223337,422.083196351959,11100.6388852333,652.804384658704
"39",9562.53602481381,1755.65149639348,166.487561215078,457.695445253567,582.812448697713,1822.74430486625,120.192035471918,675.693255835577,254.631165211696,504.662231089843,161.799932772002,848.761996034307,106.951734587404,481.769730852604,598.595900012467,437.46319068801,290.195380554621,242.052365692017,963.381622000815,1994.72596496298,424.928900468046,10448.1020310298,656.591896578487
"40",9644.27454787744,1770.17591475209,167.196592117622,459.127055170095,588.948623450578,1834.26910662642,117.374315921148,681.384622204436,255.231766579026,521.934573408798,162.786942332727,852.258464072021,103.50074964356,488.11228136038,605.593163818665,437.810214174123,290.327705986222,243.484144055193,973.947946244073,2018.7170379189,427.619283961683,9840.80302210072,660.131342472269
"41",9723.2186736118,1784.20185727549,167.845740910664,460.380457992131,594.93436869283,1845.19437303446,114.648512358355,686.883806293801,255.73570922878,539.647462978672,163.719076116679,855.450199424664,100.157526495923,494.368193984381,612.458937316579,437.989684406831,290.351330871083,244.835434646691,984.252849301448,2042.24642043587,430.165498717357,9275.57211765925,663.440697182602
"42",9799.57835737267,1797.76710649457,168.43954059715,461.468689982446,600.781124438674,1855.56517804935,112.016625271994,692.20594381735,256.150504254341,557.818177992338,164.600308313857,858.36049201752,96.924689994585,500.546100757976,619.204415827713,438.015560441438,290.275738157332,246.112368280739,994.313625636729,2065.35044547578,432.577947252282,8749.45955834754,666.5367234125
"43",9873.54914490483,1810.90686071998,168.982208984054,462.403929187206,606.499526195931,1865.42351160577,109.479870816366,697.365126428019,256.483135683888,576.464095694015,165.434338627252,861.011021549841,93.8039566800125,506.654049171213,625.840022599421,437.900806869079,290.109734927263,247.320657740536,1004.14629617145,2088.0629606327,434.866314457741,8259.72651231974,669.435023007103
"44",9945.31350653332,1823.65397350304,169.477677730559,463.197570019723,612.099479093696,1874.80856503531,107.038803318414,702.374498140089,256.740108961874,595.602713800464,166.224617596114,863.422006190644,90.7962701347808,512.699556432957,632.37548026257,437.657485422645,289.861514870387,248.465636526416,1013.76572484321,2110.41555830468,437.039633749052,7803.82593900051,672.150143891756
"45",10015.0418036854,1836.03912714367,169.929613365592,463.86027688527,617.590211510342,1883.75693779626,104.693407480588,707.246325146922,256.927486010165,615.25167105869,166.974364923736,865.612310204347,87.9019029122918,518.689648803536,638.819862588743,437.296821239351,289.538703500544,249.552286929019,1023.18570278615,2132.43774250046,439.106334938594,7379.3886157666,674.695657444874
"46",10082.892841522,1848.09093198419,170.341429245307,464.402013231274,622.980305570256,1892.30275561729,102.443166858816,711.992035644476,257.050905134606,635.428772168649,167.686579915942,867.599505299276,85.1205313809418,524.63088414134,645.181624065329,436.829240534624,289.148383949582,250.585256096858,1032.41899589791,2154.15702427504,441.074271484454,6984.21546161512,677.084202501193
"47",10149.0149531956,1859.83612101959,170.716309158165,464.832103287906,628.277757372106,1900.47790243265,100.287150307946,716.622298217927,257.115620421474,656.152004258972,168.364062059248,869.399991426169,82.4513329795532,530.52939599515,651.468657958578,436.264445023656,288.697147697187,251.568887517476,1041.47743960383,2175.59910888862,442.950774261234,6616.26194754997,679.327572263868
"48",10213.5467312199,1871.29968122069,171.057223211191,465.159273116111,633.490017516542,1908.31217678323,98.2240754830534,721.147074668471,257.126528227019,677.439555156574,169.009424877204,871.029078132352,79.893057514639,536.390923380111,657.688335468528,435.611461982658,288.191128736195,252.507242257928,1050.37200246004,2196.78802213192,444.74268776178,6273.62760931233,681.43677279292
"49",10276.6178910717,1882.50500854762,171.366946627604,465.391700301816,638.624039061848,1915.83347653854,96.2523715384523,725.57568245771,257.088198548294,699.309826390573,169.625112318102,872.501080745817,77.4440985915106,542.220845896873,663.847551970128,434.878703501273,287.636043953337,253.404124035604,1059.11286162484,2217.74625945639,446.456412926018,5954.54361922186,683.422092222486
"50",10338.3491655215,1893.4738892348,171.648057270609,465.537004208061,643.686271172981,1923.06777608327,94.3702054460829,729.916786814361,257.004870771775,721.781467690166,170.213396630815,873.829308007489,75.1025211780137,548.024179602165,669.95272130315,434.073958574211,287.037187958078,254.263076184564,1067.70939201201,2238.4947680369,448.097901554672,5657.37464514301,685.293091614285
"51",10398.8537744512,1904.2267634589,171.902967747744,465.602333645433,648.682741055854,1930.03944082619,92.5755583174119,734.17850719201,256.880507326952,744.873374980027,170.77640633121,875.026226127593,72.8661512839932,553.805636674635,676.009854509056,433.204494346285,286.399501924949,255.087424297042,1076.17029590291,2259.05320045781,449.672729431696,5380.59756793703,687.058723200227
