"","x"
"1","Buenos Aires"
"2","CABA"
"3","Catamarca"
"4","Chaco"
"5","Chubut"
"6","Córdoba"
"7","Corrientes"
"8","Entre Ríos"
"9","Formosa"
"10","Jujuy"
"11","La Pampa"
"12","La Rioja"
"13","Mendoza"
"14","Misiones"
"15","Neuquén"
"16","Río Negro"
"17","Salta"
"18","San Juan"
"19","San Luis"
"20","Santa Cruz"
"21","Santa Fe"
"22","Santiago del Estero"
"23","SIN ESPECIFICAR"
"24","Tierra del Fuego"
"25","Tucumán"
